file,shape_raw,shape_3d,air_ratio,is_outlier
cave_0.pt,"[1, 129, 128, 128]","[129, 128, 128]",0.5504405886627907,False
cave_1.pt,"[1, 129, 128, 128]","[129, 128, 128]",0.90716552734375,False
cave_10.pt,"[1, 129, 128, 128]","[129, 128, 128]",0.668159425720688,False
cave_100.pt,"[1, 129, 128, 128]","[129, 128, 128]",0.6476033528645834,False
cave_1000.pt,"[1, 129, 128, 128]","[129, 128, 128]",0.5724283854166666,False
cave_1001.pt,"[1, 129, 128, 128]","[129, 128, 128]",0.9183439506116764,False
cave_1002.pt,"[1, 129, 128, 128]","[129, 128, 128]",0.59637451171875,False
cave_1003.pt,"[1, 129, 128, 128]","[129, 128, 128]",0.390625,False
cave_1004.pt,"[1, 129, 128, 128]","[129, 128, 128]",0.5467732747395834,False
cave_1005.pt,"[1, 129, 128, 128]","[129, 128, 128]",0.5701090494791666,False
cave_1006.pt,"[1, 129, 128, 128]","[129, 128, 128]",0.4836629231770833,False
cave_1007.pt,"[1, 129, 128, 128]","[129, 128, 128]",0.55145263671875,False
cave_1008.pt,"[1, 129, 128, 128]","[129, 128, 128]",0.3735555013020833,False
cave_1009.pt,"[1, 129, 128, 128]","[129, 128, 128]",0.3934529622395833,False
cave_101.pt,"[1, 129, 128, 128]","[129, 128, 128]",0.80804443359375,False
cave_1010.pt,"[1, 129, 128, 128]","[129, 128, 128]",0.7010904947916666,False
cave_1011.pt,"[1, 129, 128, 128]","[129, 128, 128]",0.936073480650436,False
cave_1012.pt,"[1, 129, 128, 128]","[129, 128, 128]",0.56048583984375,False
cave_1013.pt,"[1, 129, 128, 128]","[129, 128, 128]",0.6027425130208334,False
cave_1014.pt,"[1, 129, 128, 128]","[129, 128, 128]",0.5416056315104166,False
cave_1015.pt,"[1, 129, 128, 128]","[129, 128, 128]",0.5386149088541666,False
cave_1016.pt,"[1, 129, 128, 128]","[129, 128, 128]",0.7747495192890019,False
cave_1017.pt,"[1, 129, 128, 128]","[129, 128, 128]",0.6294352213541666,False
cave_1018.pt,"[1, 129, 128, 128]","[129, 128, 128]",0.5028483072916666,False
cave_1019.pt,"[1, 129, 128, 128]","[129, 128, 128]",0.9582945357921512,False
cave_102.pt,"[1, 129, 128, 128]","[129, 128, 128]",0.7454408157703488,False
cave_1020.pt,"[1, 129, 128, 128]","[129, 128, 128]",0.9410906651223353,False
cave_1021.pt,"[1, 129, 128, 128]","[129, 128, 128]",0.8167279857073644,False
cave_1022.pt,"[1, 129, 128, 128]","[129, 128, 128]",0.52349853515625,False
cave_1023.pt,"[1, 129, 128, 128]","[129, 128, 128]",0.9019008902616279,False
cave_1024.pt,"[1, 129, 128, 128]","[129, 128, 128]",0.5054931640625,False
